# Time-averaged data for fix RDFALL5
# TimeStep Number-of-rows
# Row c_5[1] c_5[2] c_5[3] c_5[4] c_5[5] c_5[6] c_5[7] c_5[8] c_5[9] c_5[10] c_5[11] c_5[12] c_5[13] c_5[14] c_5[15] c_5[16]
0 1000
172 1.715 0 0 -0.0928609 0 0 -0.0928609 0 0 -0.0928609 0 0 -0.0928609 0 0 -0.0928609
173 1.725 0 0 -0.09449 0 0 -0.09449 0 0 -0.09449 0 0 -0.09449 0 0 -0.09449
174 1.735 0 0 -0.0961381 0 0 -0.0961381 0 0 -0.0961381 0 0 -0.0961381 0 0 -0.0961381
175 1.745 0 0 -0.0978052 0 0 -0.0978052 0 0 -0.0978052 0 0 -0.0978052 0 0 -0.0978052
176 1.755 0 0 -0.0994915 0 0 -0.0994915 0 0 -0.0994915 0 0 -0.0994915 0 0 -0.0994915
177 1.765 0 0 -0.101197 0 0 -0.101197 0 0 -0.101197 0 0 -0.101197 0 0 -0.101197
178 1.775 0 0 -0.102922 0 0 -0.102922 0 0 -0.102922 0 0 -0.102922 0 0 -0.102922
179 1.785 0 0 -0.104666 0 0 -0.104666 0 0 -0.104666 0 0 -0.104666 0 0 -0.104666
180 1.795 0 0 -0.10643 0 0 -0.10643 0 0 -0.10643 0 0 -0.10643 0 0 -0.10643
181 1.805 0 0 -0.108214 0 0 -0.108214 0 0 -0.108214 0 0 -0.108214 0 0 -0.108214
182 1.815 0 0 -0.110018 0 0 -0.110018 0 0 -0.110018 0 0 -0.110018 0 0 -0.110018
183 1.825 0 0 -0.111841 0 0 -0.111841 0 0 -0.111841 0 0 -0.111841 0 0 -0.111841
184 1.835 0 0 -0.113685 0 0 -0.113685 0 0 -0.113685 0 0 -0.113685 0 0 -0.113685
185 1.845 0 0 -0.115548 0 0 -0.115548 0 0 -0.115548 0 0 -0.115548 0 0 -0.115548
186 1.855 0 0 -0.117432 0 0 -0.117432 0 0 -0.117432 0 0 -0.117432 0 0 -0.117432
187 1.865 0 0 -0.119336 0 0 -0.119336 0 0 -0.119336 0 0 -0.119336 0 0 -0.119336
188 1.875 0 0 -0.121261 0 0 -0.121261 0 0 -0.121261 0 0 -0.121261 0 0 -0.121261
189 1.885 0 0 -0.123207 0 0 -0.123207 0 0 -0.123207 0 0 -0.123207 0 0 -0.123207
190 1.895 0 0 -0.125173 0 0 -0.125173 0 0 -0.125173 0 0 -0.125173 0 0 -0.125173
191 1.905 0 0 -0.127159 0 0 -0.127159 0 0 -0.127159 0 0 -0.127159 0 0 -0.127159
192 1.915 0 0 -0.129167 0 0 -0.129167 0 0 -0.129167 0 0 -0.129167 0 0 -0.129167
193 1.925 0 0 -0.131196 0 0 -0.131196 0 0 -0.131196 0 0 -0.131196 0 0 -0.131196
194 1.935 0 0 -0.133246 0 0 -0.133246 0 0 -0.133246 0 0 -0.133246 0 0 -0.133246
195 1.945 0 0 -0.135317 0 0 -0.135317 0 0 -0.135317 0 0 -0.135317 0 0 -0.135317
196 1.955 0 0 -0.13741 0 0 -0.13741 0 0 -0.13741 0 0 -0.13741 0 0 -0.13741
197 1.965 0 0 -0.139523 0 0 -0.139523 0 0 -0.139523 0 0 -0.139523 0 0 -0.139523
198 1.975 0 0 -0.141659 0 0 -0.141659 0 0 -0.141659 0 0 -0.141659 0 0 -0.141659
199 1.985 0 0 -0.143816 0 0 -0.143816 0 0 -0.143816 0 0 -0.143816 0 0 -0.143816
200 1.995 0 0 -0.145995 0 0 -0.145995 0 0 -0.145995 0 0 -0.145995 0 0 -0.145995
201 2.005 0 0 -0.148196 0 0 -0.148196 0 0 -0.148196 0 0 -0.148196 0 0 -0.148196
202 2.015 0 0 -0.150419 0 0 -0.150419 0 0 -0.150419 0 0 -0.150419 0 0 -0.150419
203 2.025 0 0 -0.152664 0 0 -0.152664 0 0 -0.152664 0 0 -0.152664 0 0 -0.152664
204 2.035 0 0 -0.154931 0 0 -0.154931 0 0 -0.154931 0 0 -0.154931 0 0 -0.154931
205 2.045 0 0 -0.157221 0 0 -0.157221 0 0 -0.157221 0 0 -0.157221 0 0 -0.157221
206 2.055 0 0 -0.159533 0 0 -0.159533 0 0 -0.159533 0 0 -0.159533 0 0 -0.159533
207 2.065 0 0 -0.161868 0 0 -0.161868 0 0 -0.161868 0 0 -0.161868 0 0 -0.161868
208 2.075 0 0 -0.164225 0 0 -0.164225 0 0 -0.164225 0 0 -0.164225 0 0 -0.164225
209 2.085 0 0 -0.166605 0 0 -0.166605 0 0 -0.166605 0 0 -0.166605 0 0 -0.166605
210 2.095 0 0 -0.169008 0 0 -0.169008 0 0 -0.169008 0 0 -0.169008 0 0 -0.169008
211 2.105 0 0 -0.171434 0 0 -0.171434 0 0 -0.171434 0 0 -0.171434 0 0 -0.171434
212 2.115 0 0 -0.173883 0 0 -0.173883 0 0 -0.173883 0 0 -0.173883 0 0 -0.173883
213 2.125 0 0 -0.176355 0 0 -0.176355 0 0 -0.176355 0 0 -0.176355 0 0 -0.176355
